cpu_idle,cpu_not_idle,cpu_newly_idle,src_len,dst_len,extra_fails,can_migrate
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,1,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
0,0,1,1,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,1,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,1,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,1,0,0
1,0,0,0,0,1,1
1,0,0,1,0,1,1
0,0,1,0,0,0,1
1,0,0,0,1,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,1,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,1,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,1,0,0,0
0,0,1,1,0,0,0
1,0,0,1,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,0
0,0,1,1,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,2,0,0,1
0,0,1,1,0,0,1
0,0,1,0,0,0,1
0,0,1,1,0,0,0
1,0,0,2,0,0,1
1,0,0,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,1,1,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,1,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
0,0,1,1,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,1,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,1,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,1,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
0,0,1,1,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,1,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
1,0,0,1,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,1,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,1,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,1,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,1,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,1,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,1,0,0,0
1,0,0,1,0,0,0
0,0,1,1,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,1,1
0,0,1,0,0,0,0
1,0,0,0,0,0,0
0,0,1,1,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,1,0,0,0
1,0,0,0,1,0,0
0,0,1,1,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,1,1,0,0,1
0,0,1,1,0,0,1
0,0,1,0,0,0,1
0,0,1,1,0,0,1
0,0,1,0,0,0,1
0,0,1,1,0,0,1
0,0,1,2,0,0,1
0,0,1,1,0,0,1
0,0,1,3,0,0,1
0,0,1,2,0,0,1
0,0,1,2,0,0,1
0,0,1,1,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,1,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,1
1,0,0,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,1
1,0,0,1,0,1,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,1,1
1,0,0,0,0,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,1
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
